date,store,category,quantity,unit_price,amount
2025-01-20,홍대점,디저트,24.0,3500,84000
2025-01-20,홍대점,샌드위치,20.0,6500,130000
2025-01-21,홍대점,베이커리,6.0,4200,25200
2025-01-22,부산점,디저트,23.0,8900,204700
2025-01-22,대구점,샌드위치,4.0,6500,26000
2025-01-23,부산점,샌드위치,16.0,5800,92800
2025-01-23,부산점,디저트,9.0,6500,58500
2025-01-23,홍대점,디저트,10.0,4200,42000
2025-01-23,대구점,음료,8.0,4200,33600
2025-01-24,강남점,샌드위치,20.0,5800,116000
2025-01-24,강남점,디저트,10.0,3500,35000
2025-01-25,홍대점,베이커리,22.0,3500,77000
2025-01-25,부산점,샌드위치,7.0,6500,45500
2025-01-25,부산점,음료,5.0,3500,17500
2025-01-25,강남점,샌드위치,3.0,5800,17400
2025-01-25,홍대점,디저트,16.0,6500,104000
2025-01-26,대구점,샌드위치,4.0,4200,16800
2025-01-26,홍대점,디저트,16.0,3500,56000
2025-01-26,강남점,샌드위치,16.0,4200,67200
2025-01-27,부산점,디저트,13.0,3500,45500
2025-01-28,홍대점,음료,19.0,3500,66500
2025-01-29,부산점,음료,17.0,3500,59500
2025-01-29,부산점,디저트,2.0,6500,13000
2025-01-29,홍대점,디저트,21.0,5800,121800
2025-01-29,부산점,음료,24.0,3500,84000
2025-01-30,부산점,샌드위치,8.0,6500,52000
2025-01-30,대구점,샌드위치,20.0,4200,84000
2025-01-31,대구점,샌드위치,19.0,6500,123500
2025-01-31,강남점,디저트,18.0,8900,160200
2025-01-31,부산점,샌드위치,3.0,4200,12600
2025-02-01,홍대점,디저트,2.0,5800,11600
2025-02-01,대구점,베이커리,,3500,59500
2025-02-01,홍대점,샌드위치,16.0,4200,67200
2025-02-01,홍대점,음료,9.0,3500,31500
2025-02-01,강남점,디저트,13.0,6500,84500
2025-02-02,강남점,샌드위치,19.0,3500,66500
2025-02-02,강남점,디저트,10.0,3500,35000
2025-02-02,홍대점,음료,16.0,8900,142400
2025-02-02,부산점,샌드위치,15.0,6500,97500
2025-02-03,대구점,음료,8.0,5800,46400
2025-02-03,부산점,샌드위치,4.0,6500,26000
2025-02-03,홍대점,베이커리,6.0,8900,53400
2025-02-03,대구점,음료,21.0,4200,88200
2025-02-03,강남점,베이커리,21.0,5800,121800
2025-02-03,홍대점,음료,19.0,3500,66500
2025-02-04,부산점,디저트,14.0,4200,58800
2025-02-04,대구점,디저트,23.0,6500,149500
2025-02-04,홍대점,음료,8.0,4200,33600
2025-02-05,홍대점,베이커리,6.0,4200,25200
2025-02-05,강남점,샌드위치,17.0,5800,98600
2025-02-05,부산점,샌드위치,18.0,3500,63000
2025-02-05,강남점,디저트,20.0,6500,130000
2025-02-05,홍대점,디저트,15.0,3500,52500
2025-02-05,대구점,샌드위치,18.0,4200,75600
2025-02-05,부산점,샌드위치,1.0,6500,6500
2025-02-05,강남점,샌드위치,23.0,6500,149500
2025-02-07,대구점,샌드위치,14.0,6500,91000
2025-02-07,대구점,샌드위치,20.0,6500,130000
2025-02-07,부산점,샌드위치,19.0,5800,110200
2025-02-08,강남점,베이커리,7.0,8900,62300
2025-02-08,강남점,샌드위치,11.0,3500,38500
2025-02-08,대구점,샌드위치,,4200,96600
2025-02-09,홍대점,샌드위치,1.0,4200,4200
2025-02-09,홍대점,디저트,20.0,3500,70000
2025-02-09,홍대점,샌드위치,24.0,3500,84000
2025-02-09,홍대점,디저트,1.0,4200,4200
2025-02-09,부산점,음료,8.0,3500,28000
2025-02-09,부산점,샌드위치,3.0,5800,17400
2025-02-10,부산점,디저트,20.0,8900,178000
2025-02-10,강남점,음료,24.0,6500,156000
2025-02-10,대구점,샌드위치,17.0,3500,59500
2025-02-11,강남점,음료,7.0,5800,40600
2025-02-11,홍대점,디저트,,4200,54600
2025-02-11,강남점,디저트,8.0,8900,71200
2025-02-11,대구점,베이커리,2.0,3500,7000
2025-02-12,대구점,음료,7.0,4200,29400
2025-02-12,홍대점,샌드위치,20.0,3500,70000
2025-02-12,홍대점,샌드위치,9.0,8900,80100
2025-02-12,강남점,베이커리,23.0,5800,133400
2025-02-12,강남점,음료,3.0,8900,26700
2025-02-12,강남점,샌드위치,16.0,4200,67200
2025-02-12,강남점,디저트,14.0,4200,58800
2025-02-13,부산점,음료,17.0,3500,59500
2025-02-13,부산점,음료,7.0,8900,62300
2025-02-13,부산점,디저트,2.0,3500,7000
2025-02-14,대구점,샌드위치,22.0,5800,127600
2025-02-14,강남점,샌드위치,2.0,8900,17800
2025-02-14,대구점,샌드위치,9.0,8900,80100
2025-02-15,강남점,디저트,20.0,3500,70000
2025-02-15,홍대점,샌드위치,18.0,6500,117000
2025-02-15,부산점,샌드위치,12.0,6500,78000
2025-02-16,대구점,샌드위치,17.0,3500,59500
2025-02-16,대구점,디저트,14.0,5800,81200
2025-02-16,대구점,디저트,4.0,6500,26000
2025-02-16,홍대점,샌드위치,24.0,5800,139200
2025-02-17,대구점,베이커리,3.0,6500,19500
2025-02-17,홍대점,베이커리,4.0,8900,35600
2025-02-17,대구점,음료,15.0,6500,97500
2025-02-17,대구점,샌드위치,13.0,3500,45500
2025-02-18,강남점,음료,21.0,8900,186900
2025-02-18,대구점,디저트,14.0,6500,91000
2025-02-18,홍대점,디저트,3.0,4200,12600
2025-02-18,부산점,디저트,13.0,6500,84500
2025-02-19,대구점,디저트,9.0,4200,37800
2025-02-19,대구점,디저트,6.0,4200,25200
2025-02-19,부산점,샌드위치,10.0,5800,58000
2025-02-19,홍대점,샌드위치,21.0,3500,73500
2025-02-20,홍대점,베이커리,2.0,3500,7000
2025-02-21,강남점,베이커리,6.0,8900,53400
2025-02-21,강남점,디저트,24.0,3500,84000
2025-02-21,부산점,베이커리,19.0,6500,123500
2025-02-21,대구점,샌드위치,6.0,8900,53400
2025-02-21,강남점,샌드위치,1.0,4200,4200
2025-02-22,부산점,디저트,14.0,3500,49000
2025-02-22,부산점,음료,12.0,4200,50400
2025-02-22,대구점,디저트,22.0,5800,127600
2025-02-23,강남점,베이커리,11.0,5800,63800
2025-02-23,대구점,디저트,15.0,4200,63000
2025-02-23,부산점,음료,15.0,3500,52500
2025-02-23,강남점,디저트,13.0,4200,54600
2025-02-24,부산점,음료,9.0,6500,58500
2025-02-24,홍대점,디저트,23.0,6500,149500
2025-02-24,대구점,베이커리,13.0,4200,54600
2025-02-25,부산점,베이커리,20.0,3500,70000
2025-02-25,강남점,음료,22.0,5800,127600
2025-02-26,강남점,디저트,2.0,3500,7000
2025-02-27,대구점,음료,22.0,6500,143000
2025-02-27,강남점,디저트,5.0,8900,44500
2025-02-27,대구점,디저트,24.0,4200,100800
2025-02-27,대구점,음료,12.0,5800,69600
2025-02-28,홍대점,디저트,22.0,4200,92400
2025-02-28,대구점,음료,10.0,4200,42000
2025-03-01,부산점,샌드위치,13.0,4200,54600
2025-03-02,홍대점,음료,17.0,5800,98600
2025-03-02,강남점,디저트,15.0,4200,63000
2025-03-02,부산점,디저트,12.0,6500,78000
2025-03-02,홍대점,베이커리,3.0,3500,10500
2025-03-03,부산점,음료,2.0,5800,11600
2025-03-04,강남점,베이커리,17.0,4200,71400
2025-03-04,부산점,음료,7.0,3500,24500
2025-03-04,대구점,디저트,13.0,3500,45500
2025-03-05,홍대점,음료,22.0,3500,77000
2025-03-05,강남점,디저트,1.0,8900,8900
2025-03-05,홍대점,디저트,19.0,4200,79800
2025-03-05,대구점,디저트,12.0,4200,50400
2025-03-05,홍대점,베이커리,13.0,3500,45500
2025-03-06,홍대점,음료,,6500,45500
2025-03-06,부산점,샌드위치,16.0,5800,92800
2025-03-07,대구점,음료,8.0,3500,28000
2025-03-08,부산점,샌드위치,2.0,3500,7000
2025-03-08,강남점,디저트,20.0,5800,116000
2025-03-09,홍대점,디저트,3.0,8900,26700
2025-03-10,홍대점,디저트,14.0,4200,58800
2025-03-10,대구점,샌드위치,2.0,6500,13000
2025-03-11,부산점,디저트,20.0,6500,130000
2025-03-12,부산점,디저트,1.0,8900,8900
2025-03-12,부산점,음료,3.0,3500,10500
2025-03-12,홍대점,베이커리,4.0,3500,14000
2025-03-12,홍대점,베이커리,19.0,4200,79800
2025-03-13,홍대점,음료,14.0,5800,81200
2025-03-13,강남점,디저트,8.0,6500,52000
2025-03-13,대구점,샌드위치,5.0,6500,32500
2025-03-13,대구점,샌드위치,24.0,5800,139200
2025-03-13,홍대점,디저트,12.0,6500,78000
2025-03-14,부산점,샌드위치,11.0,6500,71500
2025-03-14,홍대점,디저트,,5800,29000
2025-03-14,홍대점,샌드위치,20.0,4200,84000
2025-03-15,강남점,디저트,20.0,6500,130000
2025-03-15,부산점,음료,1.0,3500,3500
2025-03-15,대구점,샌드위치,9.0,5800,52200
2025-03-16,홍대점,샌드위치,15.0,4200,63000
2025-03-16,강남점,음료,3.0,3500,10500
2025-03-17,부산점,샌드위치,23.0,5800,133400
2025-03-17,강남점,디저트,1.0,4200,4200
2025-03-17,대구점,샌드위치,21.0,4200,88200
2025-03-17,부산점,샌드위치,22.0,5800,127600
2025-03-17,대구점,음료,20.0,5800,116000
2025-03-17,부산점,베이커리,,8900,178000
2025-03-17,홍대점,베이커리,22.0,8900,195800
2025-03-18,홍대점,샌드위치,7.0,8900,62300
2025-03-18,대구점,음료,21.0,3500,73500
2025-03-18,강남점,음료,1.0,4200,4200
2025-03-18,부산점,베이커리,18.0,3500,63000
2025-03-19,부산점,샌드위치,,3500,7000
2025-03-19,강남점,베이커리,14.0,4200,58800
2025-03-19,부산점,음료,21.0,3500,73500
2025-03-19,대구점,샌드위치,,3500,49000
2025-03-19,홍대점,샌드위치,4.0,3500,14000
2025-03-19,대구점,음료,1.0,6500,6500
2025-03-20,홍대점,베이커리,11.0,4200,46200
2025-03-20,홍대점,베이커리,3.0,8900,26700
2025-03-20,홍대점,디저트,11.0,4200,46200
2025-03-20,강남점,디저트,2.0,4200,8400
2025-03-20,홍대점,음료,24.0,5800,139200
2025-03-21,부산점,샌드위치,10.0,3500,35000
2025-03-21,강남점,디저트,14.0,3500,49000
2025-03-21,부산점,디저트,9.0,8900,80100
2025-03-21,홍대점,디저트,11.0,4200,46200
2025-03-21,홍대점,디저트,3.0,5800,17400
2025-03-22,부산점,음료,15.0,3500,52500
2025-03-22,홍대점,디저트,21.0,6500,136500
2025-03-23,강남점,음료,6.0,8900,53400
2025-03-23,부산점,베이커리,11.0,5800,63800
2025-03-23,부산점,음료,20.0,3500,70000
2025-03-24,홍대점,샌드위치,16.0,8900,142400
2025-03-24,대구점,샌드위치,23.0,4200,96600
2025-03-24,부산점,샌드위치,21.0,5800,121800
2025-03-25,홍대점,샌드위치,6.0,8900,53400
2025-03-25,강남점,음료,5.0,4200,21000
2025-03-25,홍대점,디저트,13.0,5800,75400
2025-03-25,홍대점,샌드위치,16.0,5800,92800
2025-03-25,부산점,음료,16.0,6500,104000
2025-03-26,홍대점,베이커리,13.0,8900,115700
2025-03-27,홍대점,베이커리,10.0,5800,58000
2025-03-28,대구점,음료,2.0,6500,13000
2025-03-28,강남점,디저트,14.0,6500,91000
2025-03-28,부산점,샌드위치,9.0,4200,37800
2025-03-29,부산점,샌드위치,3.0,4200,12600
2025-03-29,강남점,샌드위치,24.0,4200,100800
2025-03-29,부산점,샌드위치,12.0,6500,78000
2025-03-29,강남점,음료,4.0,8900,35600
2025-03-30,부산점,샌드위치,9.0,5800,52200
2025-03-30,대구점,베이커리,5.0,5800,29000
2025-03-30,대구점,샌드위치,8.0,4200,33600
2025-03-30,홍대점,샌드위치,14.0,5800,81200
2025-03-30,홍대점,샌드위치,24.0,6500,156000
2025-03-30,강남점,샌드위치,10.0,6500,65000
2025-03-31,부산점,음료,21.0,5800,121800
2025-03-31,대구점,음료,18.0,8900,160200
2025-03-31,대구점,디저트,6.0,6500,39000
2025-03-31,부산점,디저트,17.0,4200,71400
2025-04-01,부산점,디저트,17.0,5800,98600
2025-04-01,부산점,디저트,13.0,6500,84500
2025-04-01,강남점,샌드위치,23.0,5800,133400
2025-04-01,부산점,베이커리,10.0,8900,89000
2025-04-01,강남점,베이커리,11.0,6500,71500
2025-04-02,홍대점,베이커리,24.0,4200,100800
2025-04-02,강남점,음료,20.0,5800,116000
2025-04-02,부산점,디저트,6.0,5800,34800
2025-04-02,부산점,베이커리,18.0,4200,75600
2025-04-02,대구점,음료,2.0,4200,8400
2025-04-02,강남점,음료,19.0,8900,169100
2025-04-02,대구점,샌드위치,1.0,8900,8900
2025-04-03,부산점,음료,17.0,6500,110500
2025-04-03,대구점,베이커리,13.0,6500,84500
2025-04-03,강남점,베이커리,16.0,8900,142400
2025-04-04,대구점,샌드위치,9.0,6500,58500
2025-04-04,강남점,음료,13.0,8900,115700
2025-04-04,대구점,디저트,14.0,4200,58800
2025-04-05,부산점,베이커리,1.0,8900,8900
2025-04-05,홍대점,베이커리,20.0,8900,178000
2025-04-05,강남점,샌드위치,7.0,5800,40600
2025-04-05,부산점,샌드위치,4.0,5800,23200
2025-04-06,홍대점,디저트,12.0,3500,42000
2025-04-06,홍대점,베이커리,17.0,5800,98600
2025-04-06,홍대점,베이커리,4.0,3500,14000
2025-04-07,부산점,디저트,4.0,8900,35600
2025-04-08,부산점,베이커리,21.0,8900,186900
2025-04-08,대구점,디저트,7.0,8900,62300
2025-04-08,대구점,베이커리,1.0,3500,3500
2025-04-09,부산점,디저트,21.0,8900,186900
2025-04-09,부산점,디저트,18.0,5800,104400
2025-04-09,대구점,음료,3.0,4200,12600
2025-04-09,대구점,베이커리,19.0,3500,66500
2025-04-09,강남점,음료,8.0,8900,71200
2025-04-09,부산점,베이커리,3.0,4200,12600
2025-04-10,홍대점,디저트,16.0,3500,56000
2025-04-10,대구점,음료,16.0,5800,92800
2025-04-10,강남점,베이커리,15.0,4200,63000
2025-04-10,홍대점,베이커리,17.0,8900,151300
2025-04-10,부산점,디저트,10.0,8900,89000
2025-04-10,홍대점,디저트,22.0,5800,127600
2025-04-11,부산점,샌드위치,24.0,4200,100800
2025-04-12,부산점,베이커리,24.0,8900,213600
2025-04-12,강남점,베이커리,22.0,4200,92400
2025-04-13,강남점,베이커리,4.0,3500,14000
2025-04-14,강남점,샌드위치,13.0,6500,84500
2025-04-14,홍대점,음료,18.0,6500,117000
2025-04-15,강남점,음료,6.0,6500,39000
2025-04-15,부산점,디저트,4.0,3500,14000
2025-04-16,강남점,베이커리,12.0,5800,69600
2025-04-17,홍대점,베이커리,3.0,8900,26700
2025-04-17,대구점,베이커리,17.0,8900,151300
2025-04-18,부산점,디저트,10.0,5800,58000
2025-04-18,강남점,디저트,19.0,4200,79800
2025-04-19,부산점,음료,7.0,4200,29400
2025-04-19,강남점,디저트,8.0,5800,46400
2025-04-19,부산점,음료,11.0,5800,63800
2025-04-20,강남점,음료,3.0,3500,10500
2025-04-20,강남점,음료,20.0,5800,116000
2025-04-20,홍대점,음료,9.0,8900,80100
2025-04-21,강남점,베이커리,20.0,3500,70000
2025-04-21,대구점,베이커리,4.0,5800,23200
2025-04-21,홍대점,베이커리,19.0,8900,169100
2025-04-21,부산점,샌드위치,,6500,110500
2025-04-21,대구점,디저트,13.0,5800,75400
2025-04-21,강남점,디저트,19.0,3500,66500
2025-04-22,홍대점,음료,1.0,8900,8900
2025-04-22,부산점,베이커리,12.0,6500,78000
2025-04-22,강남점,샌드위치,23.0,5800,133400
2025-04-22,대구점,샌드위치,16.0,3500,56000
2025-04-22,강남점,베이커리,21.0,5800,121800
2025-04-23,홍대점,음료,1.0,5800,5800
2025-04-23,부산점,샌드위치,16.0,5800,92800
2025-04-24,홍대점,음료,1.0,5800,5800
2025-04-24,강남점,베이커리,6.0,8900,53400
2025-04-24,홍대점,음료,13.0,3500,45500
2025-04-25,대구점,음료,15.0,6500,97500
2025-04-25,부산점,샌드위치,4.0,5800,23200
2025-04-25,홍대점,베이커리,7.0,4200,29400
2025-04-25,강남점,샌드위치,19.0,8900,169100
2025-04-25,강남점,베이커리,6.0,6500,39000
2025-04-26,대구점,디저트,14.0,3500,49000
2025-04-26,대구점,음료,20.0,6500,130000
2025-04-26,부산점,베이커리,13.0,3500,45500
2025-04-27,강남점,베이커리,14.0,5800,81200
2025-04-28,부산점,음료,24.0,3500,84000
2025-04-28,부산점,샌드위치,12.0,5800,69600
2025-04-29,홍대점,음료,17.0,6500,110500
2025-04-29,대구점,음료,3.0,3500,10500
2025-04-30,홍대점,베이커리,21.0,3500,73500
2025-04-30,강남점,디저트,16.0,8900,142400
2025-04-30,홍대점,베이커리,13.0,8900,115700
2025-04-30,부산점,디저트,14.0,5800,81200
2025-04-30,강남점,디저트,2.0,5800,11600
