area,rooms,building_age,distance_station,floor,price
106.5,4,30,0.1,22,119200.0
102.5,5,26,0.13,23,119900.0
99.3,4,35,0.74,15,105200.0
81.4,1,24,0.55,11,93300.0
90.4,4,24,1.64,11,103900.0
111.7,4,19,0.47,2,120000.0
67.0,3,27,0.5,12,89100.0
67.7,3,2,0.73,13,95900.0
88.7,3,18,0.1,6,106600.0
94.8,4,15,1.63,20,113200.0
62.6,3,32,2.11,21,76900.0
82.1,3,2,5.64,8,85000.0
81.6,2,23,2.41,23,97300.0
29.0,3,6,0.6,3,63200.0
78.3,3,31,2.36,23,93800.0
79.9,3,30,8.06,20,68600.0
79.8,2,8,0.39,6,103600.0
120.8,5,31,5.06,17,125900.0
52.4,1,17,0.69,8,72300.0
62.6,2,34,0.1,20,83800.0
29.0,2,26,0.11,5,53600.0
71.5,3,1,0.33,7,106800.0
73.7,3,7,1.77,8,98600.0
70.7,1,14,1.99,5,89800.0
,6,7,1.87,9,132300.0
106.4,3,4,0.8,16,125100.0
86.0,4,35,1.31,16,91900.0
74.4,4,31,1.95,14,86900.0
110.7,5,15,1.22,5,126800.0
83.5,3,7,0.96,6,111700.0
,3,6,0.44,23,104100.0
39.4,1,32,0.77,7,48500.0
72.5,3,11,2.33,3,88200.0
103.6,4,0,1.26,12,123300.0
143.2,4,14,0.35,1,164000.0
85.6,4,16,0.42,9,110100.0
64.1,2,22,2.5,22,81600.0
53.2,2,12,3.78,7,63300.0
98.4,3,33,,18,106500.0
38.1,2,23,0.8,13,64400.0
98.3,3,35,0.1,9,103600.0
105.3,2,13,,17,128900.0
95.3,4,23,1.92,15,120100.0
78.3,3,13,6.41,8,78700.0
98.7,4,25,1.48,6,103800.0
88.4,3,26,1.28,23,97300.0
63.8,3,11,2.4,5,93800.0
,4,33,0.55,24,141800.0
74.9,2,30,1.27,12,83700.0
104.2,3,32,0.79,25,112500.0
29.0,2,7,0.77,9,60000.0
117.2,4,25,0.33,15,133500.0
122.2,4,3,0.94,16,143100.0
84.8,5,3,1.15,9,115000.0
98.5,4,35,3.07,6,100800.0
98.5,4,5,4.87,14,111800.0
67.3,2,31,0.15,17,81000.0
98.2,3,15,0.19,7,117000.0
63.0,1,10,2.84,20,86300.0
68.2,3,2,1.32,16,108600.0
113.3,5,24,2.26,5,124000.0
109.3,4,25,0.16,24,129100.0
65.6,2,16,0.27,2,86200.0
64.9,3,29,1.31,17,76800.0
67.2,1,11,0.91,11,92400.0
103.0,4,19,0.97,17,120900.0
58.0,1,10,3.62,20,68400.0
93.3,5,20,2.19,18,108900.0
103.4,5,4,0.78,17,132500.0
81.7,2,17,3.61,22,90000.0
,3,19,0.95,18,131300.0
76.1,3,20,2.2,21,95400.0
78.4,3,16,2.13,11,102700.0
58.6,1,23,0.71,6,75700.0
110.4,6,18,1.72,6,127200.0
,3,10,3.97,16,78700.0
93.1,4,7,3.58,14,111400.0
82.1,3,23,,2,94400.0
56.6,3,33,0.43,6,64900.0
68.2,2,27,0.5,25,83100.0
120.0,4,22,2.47,19,125400.0
89.2,4,33,1.2,19,102100.0
57.8,1,32,1.22,5,68600.0
91.9,5,18,0.1,2,111200.0
80.2,3,3,0.47,8,112300.0
,6,22,1.79,22,175600.0
91.4,3,22,0.46,13,92500.0
74.1,2,9,0.26,20,99300.0
120.9,4,30,0.64,13,132800.0
36.1,2,31,1.87,13,43000.0
86.5,3,11,1.92,16,107300.0
135.9,5,17,1.27,24,158000.0
81.0,2,7,1.02,11,100500.0
38.9,1,6,3.29,15,63600.0
,3,9,2.98,23,89300.0
121.8,4,13,0.86,10,146000.0
