customer_id,age,region,grade,tenure_months,visits,monthly_spend,satisfaction,churn
C0228,58.0,Busan,gold,64,4,77300.0,4.0,0
C0229,55.0,Busan,silver,23,6,58300.0,2.0,0
C0230,39.0,Seoul,bronze,69,8,56900.0,2.0,0
C0231,25.0,Seoul,silver,18,4,30600.0,5.0,1
C0232,37.0,Seoul,silver,32,6,54200.0,5.0,0
C0233,44.0,Incheon,bronze,50,8,56900.0,1.0,0
C0234,,Busan,silver,21,3,29700.0,4.0,1
C0235,33.0,Incheon,bronze,20,6,45000.0,5.0,1
C0236,44.0,Daegu,bronze,10,4,57400.0,3.0,0
C0237,34.0,Busan,silver,1,9,54200.0,4.0,0
C0238,33.0,Daegu,bronze,37,3,40900.0,1.0,1
C0239,45.0,Seoul,bronze,72,7,82600.0,1.0,0
C0240,36.0,Seoul,silver,16,4,33600.0,1.0,1
C0241,,Daegu,gold,32,7,66500.0,1.0,0
C0242,45.0,Daegu,silver,68,9,90600.0,5.0,0
C0243,26.0,Seoul,silver,56,11,64600.0,4.0,0
C0244,35.0,Busan,gold,1,5,45600.0,4.0,1
C0245,60.0,Busan,bronze,37,7,97400.0,2.0,0
C0246,26.0,Daegu,bronze,11,14,78500.0,5.0,0
C0247,19.0,Busan,bronze,18,5,51400.0,1.0,1
C0248,19.0,Seoul,bronze,18,6,47400.0,5.0,0
C0249,41.0,Seoul,silver,45,9,70600.0,1.0,0
C0250,41.0,Seoul,bronze,15,7,72100.0,1.0,1
C0251,39.0,Busan,bronze,19,9,76700.0,1.0,0
C0252,57.0,Daegu,bronze,17,10,105600.0,4.0,0
C0253,19.0,Busan,bronze,26,6,35700.0,2.0,1
C0254,46.0,Seoul,gold,48,4,58700.0,3.0,0
C0255,61.0,Seoul,bronze,29,6,79400.0,3.0,0
C0256,26.0,Daegu,bronze,24,2,40200.0,4.0,0
C0257,,Daegu,bronze,38,5,41100.0,2.0,0
C0258,,Seoul,bronze,45,6,65300.0,1.0,1
C0259,29.0,Seoul,silver,2,5,52700.0,2.0,1
C0260,37.0,Busan,bronze,65,9,55300.0,2.0,0
C0261,,Seoul,bronze,66,4,85300.0,4.0,0
C0262,65.0,Daegu,bronze,44,8,118900.0,4.0,0
C0263,,Seoul,silver,42,6,1494300.0,1.0,0
C0264,66.0,Seoul,silver,51,5,97500.0,4.0,0
C0265,41.0,Incheon,silver,32,10,79900.0,1.0,1
C0266,64.0,Seoul,silver,27,6,62900.0,4.0,0
C0267,40.0,Seoul,silver,26,4,30700.0,2.0,1
C0268,43.0,Seoul,bronze,12,3,54400.0,2.0,1
C0269,46.0,Seoul,bronze,61,4,51100.0,3.0,0
C0270,78.0,Seoul,silver,24,8,92800.0,2.0,0
C0271,52.0,Seoul,bronze,21,9,83800.0,4.0,0
C0272,32.0,Seoul,silver,70,5,57200.0,5.0,0
C0273,54.0,Seoul,bronze,37,3,43800.0,5.0,0
C0274,36.0,Busan,silver,45,10,69000.0,3.0,0
C0275,35.0,Busan,gold,18,5,70600.0,3.0,0
C0276,53.0,Seoul,silver,20,4,51600.0,3.0,0
C0277,41.0,Seoul,gold,53,3,59900.0,4.0,0
C0278,45.0,Busan,silver,33,4,51500.0,3.0,0
C0279,41.0,Incheon,gold,11,0,43400.0,3.0,1
C0280,45.0,Daegu,bronze,61,4,,,0
C0281,47.0,Seoul,bronze,29,3,63800.0,2.0,0
C0282,19.0,Seoul,silver,49,6,53200.0,3.0,1
C0283,50.0,Seoul,bronze,25,8,64800.0,4.0,0
C0284,28.0,Seoul,bronze,41,6,63800.0,3.0,0
C0285,22.0,Busan,gold,56,6,34800.0,5.0,1
C0286,40.0,Seoul,silver,64,3,51700.0,5.0,0
C0287,42.0,,bronze,15,6,66100.0,3.0,1
C0288,32.0,Seoul,bronze,49,7,64000.0,5.0,0
C0289,52.0,Busan,bronze,66,3,63400.0,1.0,0
C0290,24.0,Seoul,bronze,47,8,45100.0,5.0,0
C0291,36.0,Daegu,gold,11,6,41400.0,2.0,0
C0292,33.0,Seoul,bronze,14,7,69600.0,3.0,0
C0293,40.0,Incheon,bronze,15,6,1123200.0,2.0,1
C0294,45.0,Seoul,silver,8,9,92100.0,,1
C0295,28.0,Daegu,bronze,55,3,37300.0,2.0,1
C0296,50.0,Incheon,bronze,70,8,943100.0,4.0,0
C0297,,Incheon,silver,38,6,74600.0,1.0,0
C0298,19.0,Daegu,silver,44,5,,5.0,1
C0299,19.0,Daegu,gold,56,8,54800.0,5.0,0
C0300,41.0,Busan,silver,30,6,54300.0,3.0,0
C0004,19.0,Busan,silver,54,7,31300.0,2.0,0
C0018,24.0,Seoul,silver,62,4,39800.0,1.0,0
C0043,60.0,Daegu,silver,3,1,54200.0,,1
